id,c_fraccionarancelaria,descripcion
catalogos_fraccionarancelaria154,02085001,De reptiles (incluidas las serpientes y tortugas de mar).
catalogos_fraccionarancelaria155,02086001,De camellos y los demás camélidos (Camelidae).
catalogos_fraccionarancelaria156,02089001,Carnes o despojos de venado.
catalogos_fraccionarancelaria157,02089002,Ancas (patas) de rana.
catalogos_fraccionarancelaria158,02089099,Los demás.
catalogos_fraccionarancelaria159,02090001,Derogada
catalogos_fraccionarancelaria160,02090099,Derogada
catalogos_fraccionarancelaria161,02091001,De cerdo.
catalogos_fraccionarancelaria162,02099001,"De gallo, gallina o pavo (gallipavo)."
catalogos_fraccionarancelaria163,02099099,Los demás.
catalogos_fraccionarancelaria164,02101101,"Jamones, paletas, y sus trozos, sin deshuesar."
catalogos_fraccionarancelaria165,02101201,Tocino entreverado de panza (panceta) y sus trozos.
catalogos_fraccionarancelaria166,02101999,Las demás.
catalogos_fraccionarancelaria167,02102001,Carne de la especie bovina.
catalogos_fraccionarancelaria168,02109101,De primates.
catalogos_fraccionarancelaria169,02109201,"De ballenas, delfines y marsopas (mamíferos del orden Cetáceos); de manatíes y dugones o dugongos (mamíferos del orden Sirenios); de otarios y focas, leones marinos y morsas (mamíferos del suborden Pinnipedia)."
catalogos_fraccionarancelaria170,02109301,De reptiles (incluidas las serpientes y tortugas de mar).
catalogos_fraccionarancelaria171,02109901,"Vísceras o labios de bovinos, salados o salpresos."
catalogos_fraccionarancelaria172,02109902,"Pieles de cerdo ahumadas, enteras o en recortes."
catalogos_fraccionarancelaria173,02109903,"Aves, saladas o en salmuera."
catalogos_fraccionarancelaria174,02109999,Los demás.
catalogos_fraccionarancelaria175,03011001,Derogada
catalogos_fraccionarancelaria176,03011101,De agua dulce.
catalogos_fraccionarancelaria177,03011999,Los demás.
catalogos_fraccionarancelaria178,03019101,"Truchas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache y Oncorhynchus chrysogaster)."
catalogos_fraccionarancelaria179,03019201,Anguilas (Anguilla Spp.).
catalogos_fraccionarancelaria180,03019301,"Carpas (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys Spp., Cirrhinus Spp., Mylopharyngodon piceus)."
catalogos_fraccionarancelaria181,03019401,"Atunes del Atlántico o del Pacífico, de aleta azul (Thunnus thynnus, Thunnus orientalis)."
catalogos_fraccionarancelaria182,03019501,Atunes del sur (Thunnus maccoyii).
catalogos_fraccionarancelaria183,03019999,Los demás.
catalogos_fraccionarancelaria184,03021101,"Truchas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache y Oncorhynchus chrysogaster)."
catalogos_fraccionarancelaria185,03021201,Derogada
catalogos_fraccionarancelaria186,03021301,"Salmones del Pacífico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou y Oncorhynchus rhodurus)."
catalogos_fraccionarancelaria187,03021401,Salmones del Atlántico (Salmo salar) y salmones del Danubio (Hucho hucho).
catalogos_fraccionarancelaria188,03021999,Los demás.
catalogos_fraccionarancelaria189,03022101,"Halibut (fletán) (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)."
catalogos_fraccionarancelaria190,03022201,Sollas (Pleuronectes platessa).
catalogos_fraccionarancelaria191,03022301,Lenguados (Solea spp.).
catalogos_fraccionarancelaria192,03022401,Rodaballos (Psetta maxima).
catalogos_fraccionarancelaria193,03022999,Los demás.
catalogos_fraccionarancelaria194,03023101,Albacoras o atunes blancos (Thunnus alalunga).
catalogos_fraccionarancelaria195,03023201,Atunes de aleta amarilla (rabiles) (Thunnus albacares).
catalogos_fraccionarancelaria196,03023301,Listados o bonitos de vientre rayado. 
catalogos_fraccionarancelaria197,03023401,Patudos o atunes ojo grande (Thunnus obesus).
catalogos_fraccionarancelaria198,03023501,"Atunes del Atlántico y del Pacífico, de aleta azul (Thunnus thynnus, Thunnus orientalis)."
catalogos_fraccionarancelaria199,03023601,Atunes del sur (Thunnus maccoyii).
catalogos_fraccionarancelaria200,03023999,Los demás.
catalogos_fraccionarancelaria201,03024001,Derogada
catalogos_fraccionarancelaria202,03024101,"Arenques (Clupea harengus, Clupea pallasii)."
catalogos_fraccionarancelaria203,03024201,Anchoas (Engraulis spp.).
catalogos_fraccionarancelaria204,03024301,"Sardinas (Sardina pilchardus, Sardinops Spp.), sardinela (Sardinella Spp.) o espadines (Sprattus sprattus)."
catalogos_fraccionarancelaria205,03024401,"Caballas (Scomber scombrus, Scomber australasicus, Scomber japonicus)."
catalogos_fraccionarancelaria206,03024501,Jureles (Trachurus spp.).
catalogos_fraccionarancelaria207,03024601,Cobias (Rachycentron canadum).
catalogos_fraccionarancelaria208,03024701,Pez espada (Xiphias gladius).
catalogos_fraccionarancelaria209,03025001,Derogada
catalogos_fraccionarancelaria210,03025101,"Bacalaos (Gadus morhua, Gadus ogac, Gadus macrocephalus)."
catalogos_fraccionarancelaria211,03025201,Eglefinos (Melanogrammus aeglefinus).
catalogos_fraccionarancelaria212,03025301,Carboneros (Pollachius virens).
catalogos_fraccionarancelaria213,03025401,"Merluzas (Merluccius spp., Urophycis spp.)."
catalogos_fraccionarancelaria214,03025501,Abadejos de Alaska (Theragra chalcogramma).
catalogos_fraccionarancelaria215,03025601,"Bacaladillas (Micromesistius poutassou, Micromesistius australis)."
catalogos_fraccionarancelaria216,03025999,Los demás.
catalogos_fraccionarancelaria217,03026101,Derogada
catalogos_fraccionarancelaria218,03026201,Derogada
catalogos_fraccionarancelaria219,03026301,Derogada
catalogos_fraccionarancelaria220,03026401,Derogada
catalogos_fraccionarancelaria221,03026501,Derogada
catalogos_fraccionarancelaria222,03026601,Derogada
catalogos_fraccionarancelaria223,03026701,Derogada
catalogos_fraccionarancelaria224,03026801,Derogada
catalogos_fraccionarancelaria225,03026901,Derogada
catalogos_fraccionarancelaria226,03026902,Derogada
catalogos_fraccionarancelaria227,03026999,Derogada
catalogos_fraccionarancelaria228,03027001,Derogada
catalogos_fraccionarancelaria229,03027101,Tilapias (Oreochromis spp.).
catalogos_fraccionarancelaria230,03027201,"Bagre o pez gato (Pangasius Spp., Silurus Spp., Clarias Spp., Ictalurus spp.)."
catalogos_fraccionarancelaria231,03027301,"Carpas (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys Spp., Cirrhinus Spp., Mylopharyngodon piceus)."
catalogos_fraccionarancelaria232,03027401,Anguilas (Anguilla spp.).
catalogos_fraccionarancelaria233,03027999,Los demás.
catalogos_fraccionarancelaria234,03028101,Cazones y demás escualos.
catalogos_fraccionarancelaria235,03028201,Rayas y mantarrayas (Rajidae).
catalogos_fraccionarancelaria236,03028301,"Austromerluza antártica y austromerluza negra (merluza negra, bacalao de profundidad, nototenia negra) (Dissostichus spp.)."
catalogos_fraccionarancelaria237,03028401,Róbalos (Dicentrarchus spp.).
catalogos_fraccionarancelaria238,03028501,"Sargos (doradas, pargos, besugos) (Sparidae). "
catalogos_fraccionarancelaria239,03028901,Totoabas.
catalogos_fraccionarancelaria240,03028999,Los demás.
catalogos_fraccionarancelaria241,03029001,"Hígados, huevas y lechas."
catalogos_fraccionarancelaria242,03031101,Salmones rojos (Oncorhynchus nerka).
catalogos_fraccionarancelaria243,03031201,"Los demás salmones del Pacífico (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou y Oncorhynchus rhodurus)."
catalogos_fraccionarancelaria244,03031301,Salmones del Atlántico (Salmo salar) y salmones del Danubio (Hucho hucho).
catalogos_fraccionarancelaria245,03031401,"Truchas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache y Oncorhynchus chrysogaster)."
catalogos_fraccionarancelaria246,03031999,Los demás.
catalogos_fraccionarancelaria247,03032101,Derogada
catalogos_fraccionarancelaria248,03032201,Derogada
catalogos_fraccionarancelaria249,03032301,Tilapias (Oreochromis spp.).
catalogos_fraccionarancelaria250,03032401,"Bagre o pez gato (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)."
catalogos_fraccionarancelaria251,03032501,"Carpas (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys Spp., Cirrhinus Spp., Mylopharyngodon piceus)."
catalogos_fraccionarancelaria252,03032601,Anguilas (Anguilla spp.).
catalogos_fraccionarancelaria253,03032999,Los demás.
catalogos_fraccionarancelaria254,03033101,"Halibut (fletán) (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)."
catalogos_fraccionarancelaria255,03033201,Sollas (Pleuronectes platessa).
catalogos_fraccionarancelaria256,03033301,Lenguados (Solea Spp.).
catalogos_fraccionarancelaria257,03033401,Rodaballos (Psetta maxima).
catalogos_fraccionarancelaria258,03033999,Los demás.
catalogos_fraccionarancelaria259,03034101,Albacoras o atunes blancos (Thunnus alalunga).
catalogos_fraccionarancelaria260,03034201,Atunes de aleta amarilla (rabiles) (Thunnus albacares).
catalogos_fraccionarancelaria261,03034301,Listados o bonitos de vientre rayado.
catalogos_fraccionarancelaria262,03034401,Patudos o atunes ojo grande (Thunnus obesus).
catalogos_fraccionarancelaria263,03034501,"Atunes del Atlántico o del Pacífico, de aleta azul (Thunnus thynnus, Thunnus orientalis)."
catalogos_fraccionarancelaria264,03034601,Atunes del sur (Thunnus maccoyii).
catalogos_fraccionarancelaria265,03034999,Los demás.
catalogos_fraccionarancelaria266,03035101,"Arenques (Clupea harengus, Clupea pallasii)."
catalogos_fraccionarancelaria267,03035201,Derogada
catalogos_fraccionarancelaria268,03035301,"Sardinas (Sardina pilchardus, Sardinops Spp.), Sardinela (Sardinella Spp.) y espadines (Sprattus sprattus)."
catalogos_fraccionarancelaria269,03035401,"Caballas (Scomber scombrus, Scomber australasicus, Scomber japonicus)."
catalogos_fraccionarancelaria270,03035501,Jureles (Trachurus spp.).
catalogos_fraccionarancelaria271,03035601,Cobias (Rachycentron canadum).
catalogos_fraccionarancelaria272,03035701,Pez espada (Xiphias gladius).
catalogos_fraccionarancelaria273,03036101,Derogada
catalogos_fraccionarancelaria274,03036201,Derogada
catalogos_fraccionarancelaria275,03036301,"Bacalaos (Gadus morhua, Gadus ogac, Gadus macrocephalus)."
catalogos_fraccionarancelaria276,03036401,Eglefinos (Melanogrammus aeglefinus).
catalogos_fraccionarancelaria277,03036501,Carboneros (Pollachius virens).
catalogos_fraccionarancelaria278,03036601,"Merluzas (Merluccius spp., Urophycis spp.)."
catalogos_fraccionarancelaria279,03036701,Abadejos de Alaska (Theragra chalcogramma).
catalogos_fraccionarancelaria280,03036801,"Bacaladillas (Micromesistius poutassou, Micromesistius australis)."
catalogos_fraccionarancelaria281,03036999,Los demás.
catalogos_fraccionarancelaria282,03037101,Derogada
catalogos_fraccionarancelaria283,03037201,Derogada
catalogos_fraccionarancelaria284,03037301,Derogada
catalogos_fraccionarancelaria285,03037401,Derogada
catalogos_fraccionarancelaria286,03037501,Derogada
catalogos_fraccionarancelaria287,03037601,Derogada
catalogos_fraccionarancelaria288,03037701,Derogada
catalogos_fraccionarancelaria289,03037801,Derogada
catalogos_fraccionarancelaria290,03037901,Derogada
catalogos_fraccionarancelaria291,03037999,Derogada
catalogos_fraccionarancelaria292,03038001,Derogada
catalogos_fraccionarancelaria293,03038101,Cazones y demás escualos.
catalogos_fraccionarancelaria294,03038201,Rayas o mantarrayas (Rajidae).
catalogos_fraccionarancelaria295,03038301,"Austromerluza antártica y austromerluza negra (merluza negra, bacalao de profundidad, nototenia negra) (Dissostichus Spp.)."
catalogos_fraccionarancelaria296,03038401,Róbalos (Dicentrarchus Spp.).
catalogos_fraccionarancelaria297,03038901,Totoabas.
catalogos_fraccionarancelaria298,03038999,Los demás.
catalogos_fraccionarancelaria299,03039001,"Hígados, huevas y lechas."
catalogos_fraccionarancelaria300,03041101,Derogada
catalogos_fraccionarancelaria301,03041201,Derogada
catalogos_fraccionarancelaria302,03041999,Derogada
catalogos_fraccionarancelaria303,03042101,Derogada
catalogos_fraccionarancelaria304,03042201,Derogada
catalogos_fraccionarancelaria305,03042901,Derogada
catalogos_fraccionarancelaria306,03042902,Derogada
catalogos_fraccionarancelaria307,03042999,Derogada
catalogos_fraccionarancelaria308,03043101,De tilapias (Oreochromis spp.).
catalogos_fraccionarancelaria309,03043201,"De bagre o pez gato (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)."
catalogos_fraccionarancelaria310,03043301,De percas del Nilo (Lates niloticus).
catalogos_fraccionarancelaria311,03043999,Los demás.
catalogos_fraccionarancelaria312,03044101,"De salmones del Pacífico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou y Oncorhynchus rhodurus), salmones del Atlántico (Salmo salar) y salmones del Danubio (Hucho hucho)."
catalogos_fraccionarancelaria313,03044201,"De truchas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache y Oncorhynchus chrysogaster)."
catalogos_fraccionarancelaria314,03044301,"De pescados planos (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae y Citharidae)."
catalogos_fraccionarancelaria315,03044401,Suprimida
catalogos_fraccionarancelaria316,03044402,De merluza panameña (Merluccius angustimanus) o merluza del Pacífico Norte (Merluccius productus).
catalogos_fraccionarancelaria317,03044499,Los demás.
catalogos_fraccionarancelaria318,03044501,De pez espada (Xiphias gladius).
catalogos_fraccionarancelaria319,03044601,"De austromerluza antártica y austromerluza negra (merluza negra, bacalao de profundidad, nototenia negra) (Dissostichus Spp.)."
catalogos_fraccionarancelaria320,03044902,"De atún de aleta azul del Atlántico (Thunnus thynnus), atún de aleta azul del Pacífico (Thunnus orientalis), atún de aleta azul del Sur (Thunnus maccoyii), atún de aleta amarilla (rabiles) (Thunnus albacares), patudos o atunes ojos grandes (Thunnus obesus) o bonito de vientre rayado (Euthynnus (Katsuwonus) pelamis)."
catalogos_fraccionarancelaria321,03044903,"De sardina (Sardina pilchardus, Sardinops spp.), sardinela (Sardinella spp.) o espadín (Sprattus sprattus)."
catalogos_fraccionarancelaria322,03044904,De anchoas (Engraulis spp.).
catalogos_fraccionarancelaria323,03044999,Los demás.
catalogos_fraccionarancelaria324,03045101,"De tilapias (Oreochromis Spp.), bagre o pez gato (Pangasius Spp., Silurus Spp., Clarias Spp., Ictalurus Spp.), carpas (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys Spp., Cirrhinus Spp., Mylopharyngodon piceus), anguilas (Anguilla Spp.), percas del Nilo (Lates niloticus) y peces cabeza de serpiente (Channa Spp.)."
catalogos_fraccionarancelaria325,03045201,Suprimida
catalogos_fraccionarancelaria326,03045202,"De salmones del Pacífico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou y Oncorhynchus rhodurus), salmones del Atlántico (Salmo salar) y salmones del Danubio (Hucho hucho)."
catalogos_fraccionarancelaria327,03045299,Los demás.
catalogos_fraccionarancelaria328,03045301,Suprimida
catalogos_fraccionarancelaria329,03045302,De merluza panameña (Merluccius angustimanus) o merluza del Pacífico Norte (Merluccius productus).
catalogos_fraccionarancelaria330,03045399,Los demás.
catalogos_fraccionarancelaria331,03045401,De pez espada (Xiphias gladius).
catalogos_fraccionarancelaria332,03045501,"De austromerluza antártica o austromerluza negra (merluza negra, bacalao de profundidad, nototenia negra) (Dissostichus Spp.)."
catalogos_fraccionarancelaria333,03045901,"De atún de aleta azul del Atlántico (Thunnus thynnus), atún de aleta azul del Pacífico (Thunnus orientalis), atún de aleta azul del Sur (Thunnus maccoyii), atún de aleta amarilla (rabiles) (Thunnus albacares), patudos o atunes ojos grandes (Thunnus obesus) o bonito de vientre rayado (Euthynnus (Katsuwonus) pelamis)."
catalogos_fraccionarancelaria334,03045902,"De sardina (Sardina pilchardus, Sardinops spp.), sardinela (Sardinella spp.) o espadín (Sprattus sprattus)."
catalogos_fraccionarancelaria335,03045903,De anchoas (Engraulis spp.).
catalogos_fraccionarancelaria336,03045999,Los demás.
catalogos_fraccionarancelaria337,03046101,De tilapias (Oreochromis spp.).
catalogos_fraccionarancelaria338,03046201,"De bagre o pez gato (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)."
catalogos_fraccionarancelaria339,03046301,De percas del Nilo (Lates niloticus).
catalogos_fraccionarancelaria340,03046999,Los demás.
catalogos_fraccionarancelaria341,03047101,"De bacalaos (Gadus morhua, Gadus ogac, Gadus macrocephalus)."
catalogos_fraccionarancelaria342,03047201,De eglefinos (Melanogrammus aeglefinus).
catalogos_fraccionarancelaria343,03047301,De carboneros (Pollachius virens).
catalogos_fraccionarancelaria344,03047401,Suprimida
catalogos_fraccionarancelaria345,03047402,De merluza panameña (Merluccius angustimanus) o merluza del Pacífico Norte (Merluccius productus).
catalogos_fraccionarancelaria346,03047499,Los demás.
catalogos_fraccionarancelaria347,03047501,De abadejos de Alaska (Theragra chalcogramma).
catalogos_fraccionarancelaria348,03047999,Los demás.
